date,value
01/01/22,0
02/01/22,0
03/01/22,0
04/01/22,0
05/01/22,0
06/01/22,0
07/01/22,0
08/01/22,0
09/01/22,0
10/01/22,0
11/01/22,0
12/01/22,0
13/01/22,0
14/01/22,0
15/01/22,0
16/01/22,0
17/01/22,0
18/01/22,0
19/01/22,0
20/01/22,0
21/01/22,0
22/01/22,0
23/01/22,0
24/01/22,0
25/01/22,0
26/01/22,0
27/01/22,0
28/01/22,0
29/01/22,0
30/01/22,0
31/01/22,0
01/02/22,0
02/02/22,0
03/02/22,0
04/02/22,0
05/02/22,0
06/02/22,0
07/02/22,0
08/02/22,0
09/02/22,0
10/02/22,0
11/02/22,0
12/02/22,0
13/02/22,0
14/02/22,0
15/02/22,0
16/02/22,0
17/02/22,0
18/02/22,0
19/02/22,0
20/02/22,0
21/02/22,0
22/02/22,0
23/02/22,0
24/02/22,0
25/02/22,0
26/02/22,0
27/02/22,0
28/02/22,0
01/03/22,0
02/03/22,0
03/03/22,0
04/03/22,0
05/03/22,0
06/03/22,0
07/03/22,0
08/03/22,0
09/03/22,0
10/03/22,0
11/03/22,0
12/03/22,0
13/03/22,0
14/03/22,0
15/03/22,0
16/03/22,0
17/03/22,0
18/03/22,0
19/03/22,0
20/03/22,0
21/03/22,0
22/03/22,0
23/03/22,0
24/03/22,0
25/03/22,0
26/03/22,0
27/03/22,0
28/03/22,0
29/03/22,0
30/03/22,0
31/03/22,0
01/04/22,0
02/04/22,0
03/04/22,0
04/04/22,0
05/04/22,0
06/04/22,0
07/04/22,0
08/04/22,0
09/04/22,0
10/04/22,0
11/04/22,0
12/04/22,0
13/04/22,0
14/04/22,0
15/04/22,0
16/04/22,0
17/04/22,0
18/04/22,0
19/04/22,0
20/04/22,0
21/04/22,0
22/04/22,0
23/04/22,0
24/04/22,0
25/04/22,0
26/04/22,0
27/04/22,0
28/04/22,0
29/04/22,0
30/04/22,0
01/05/22,0
02/05/22,0
03/05/22,0
04/05/22,0
05/05/22,0
06/05/22,0
07/05/22,0
08/05/22,0
09/05/22,0
10/05/22,0
11/05/22,0
12/05/22,0
13/05/22,0
14/05/22,0
15/05/22,0
16/05/22,0
17/05/22,0
18/05/22,0
19/05/22,0
20/05/22,0
21/05/22,0
22/05/22,0
23/05/22,0
24/05/22,0
25/05/22,0
26/05/22,0
27/05/22,0
28/05/22,0
29/05/22,0
30/05/22,0
31/05/22,0
01/06/22,0
02/06/22,0
03/06/22,0
04/06/22,0
05/06/22,0
06/06/22,0
07/06/22,0
08/06/22,0
09/06/22,0
10/06/22,0
11/06/22,0
12/06/22,0
13/06/22,0
14/06/22,0
15/06/22,0
16/06/22,0
17/06/22,0
18/06/22,0
19/06/22,0
20/06/22,0
21/06/22,0
22/06/22,0
23/06/22,0
24/06/22,0
25/06/22,0
26/06/22,0
27/06/22,0
28/06/22,0
29/06/22,0
30/06/22,0
01/07/22,0
02/07/22,0
03/07/22,0
04/07/22,0
05/07/22,0
06/07/22,0
07/07/22,0
08/07/22,0
09/07/22,0
10/07/22,0
11/07/22,0
12/07/22,0
13/07/22,0
14/07/22,0
15/07/22,0
16/07/22,0
17/07/22,0
18/07/22,0
19/07/22,0
20/07/22,0
21/07/22,0
22/07/22,0
23/07/22,0
24/07/22,0
25/07/22,0
26/07/22,0
27/07/22,0
28/07/22,0
29/07/22,0
30/07/22,0
31/07/22,0
01/08/22,0
02/08/22,0
03/08/22,0
04/08/22,0
05/08/22,0
06/08/22,0
07/08/22,0
08/08/22,0
09/08/22,0
10/08/22,0
11/08/22,0
12/08/22,0
13/08/22,0
14/08/22,0
15/08/22,0
16/08/22,0
